item,insamplesI,pop,pop2,popMORE,popK,x_coord,y_coord,village,municipality,race_1st,common_name,in_or_ex,regenerations,farmer,seedlot,pch,cobs
93,L49-2,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
94,L49-3,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
95,L49-4,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
96,L49-5,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
97,L49-6,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
98,L49-7,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
99,L49-8,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
100,L49-9,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
101,L50-1,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
102,L50-10,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
103,L50-2,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
104,L50-3,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
105,L50-4,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
106,L50-5_pl1,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
107,L50-6,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
108,L50-7,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
109,L50-8,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
110,L50-9,MORE50ex,EXMORE50,MORE50,K27,-98.95288889,19.00213889,Nepopualco,Totolapan,ancho,ancho,exsitu,1,10,different,10,20
111,L75-1,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
112,L75-10,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
113,L75-2,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
114,L75-3,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
115,L75-4,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
116,L75-5,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
117,L75-6,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
118,L75-7,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
119,L75-8,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
120,L75-9,MORE75ex,EXMORE75,MORE75,K51,-99.13141667,18.94558333,Tepoztlan,Tepoztlan,ancho,ancho,exsitu,1,11,same,11,20
121,L87-1,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
122,L87-10,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
123,L87-2,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
124,L87-3,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
